S/NO.,gage_id,gage_desc,gage_brand,gage_rance,gage_slno,gage_calib_metho,tolerance,calib_date,calib_interval,calb_interval_unit,calib_due_date,clib_agency,calib_cert_no,gage_location,remarks,comments,master_gage_slno,master_gage_cert_no,master_gage_valid_date,temp1,temp2
14,A-043,PRESSURE CHART RECORDER,BARTON,"0 -5,000 PSI",9000002072 / 120162016001,QCD/TRSG/P08 / TRSG/QM/001/20 / API 6A,± 2 % FS,2022-08-20,1,Years,2023-08-20,TRESCAL,SALPR/0638/2/22,TEST BUNKER AREA 2,TRUE,,3593088 (DPI 104),SALPR/1265/1/21,15.12.2022,2022-11-15,2023-08-06
15,A-045,"Chart Recorder : 0 -10,000 PSI",,#N/A,120162017003,,,2016-05-31,1,Years,2017-05-31,,,BAY D F03,HOLD,,,,,2022-11-15,2017-05-17
16,A-046,CHART RECORDER,BARTON,"0 -5,000 PSI",120162016002,QCD/TRSG/P08 / TRSG/QM/001/20 / API 6A,± 2 F.S,2022-03-29,1,Years,2023-03-29,TRESCAL,SALPR/0223/9/22,TEST BUNKER AREA 3 L2,TRUE,,3593088,SALPR/1265/1/21,15.12.2022,2022-11-15,2023-03-15
17,A-047,CHART RECORDER,BARTON,"0 -5,000 PSI",120162016003,QCD/TRSG/P08 / TRSG/QM/001/20 / API 6A,± 2 F.S,2022-06-06,1,Years,2023-06-06,TRESCAL,SALPR/0409/1/22,TEST BUNKER AREA 3 L2,TRUE,,3534923 (DPI 104),SALPR/0113/6/22,08.02.2023,2022-11-15,2023-05-23
18,A-049,DRIFT INSPECTION,--,11'',-,MTQ STD,`,2021-09-24,1,Years,2022-09-24,--,--,Assy Shop BAY C,FALSE,IN-HOUSE INSPECTION,--,--,--,2022-11-15,2022-09-10
19,A-050,DRIFT INSPECTION,--,13.625'',-,MTQ STD,-,2021-09-24,1,Years,2022-09-24,--,--,Assy Shop BAY C - RACK A04,FALSE,IN-HOUSE INSPECTION,--,--,--,2022-11-15,2022-09-10
20,A-051,DRIFT INSPECTION,--,21.250'',-,MTQ STD,-,2021-09-24,1,Years,2022-09-24,--,--,Assy Shop BAY C - RACK A04,FALSE,IN-HOUSE INSPECTION,--,--,--,2022-11-15,2022-09-10
21,A-052,DRIFT INSPECTION,--,20.066'',-,MTQ STD,-,2021-09-24,1,Years,2022-09-24,--,--,Assy Shop BAY C - RACK A04,FALSE,IN-HOUSE INSPECTION,--,--,--,2022-11-15,2022-09-10
22,A-054,PneuTorque: 4000 N.m.,,#N/A,10310,,,2015-10-08,1,Years,2016-10-07,,,Assy Shop,HOLD,,,,,2022-11-15,2016-09-23
23,A-055,PneuTorque: 4000 N.m.,,#N/A,10311,,,2015-10-08,1,Years,2016-10-07,,,Assy Shop,HOLD,,,,,2022-11-15,2016-09-23
24,A-056,Hydraulic Torque Wrench: 10000 psi (4500 Nm),,#N/A,2261,,,2015-10-08,1,Years,2016-10-07,,,Assy Shop BAY D,HOLD,,,,,2022-11-15,2016-09-23
25,A-058,Hydraulic Torque Wrench: 10000 psi (14000 Nm),,#N/A,1355,,,2015-10-08,1,Years,2016-10-07,,,Assy Shop BAY D,HOLD,,,,,2022-11-15,2016-09-23
26,A-064,PRESSURE TEST GAUGE,IKM,"0 - 1,000 PSI",234016001,QCD/TRSG/P08 / TRSG/QM/001/20,± 0.5 F.S / API 16A ,2022-06-23,3,Months,2022-09-23,TRESCAL,SALPR/0473/4/22,QC GAUGE ROOM OUTSIDE,FALSE,,211H20640027,SALPR/0113/15/22,08.02.2023,2022-11-15,2022-09-09
27,A-073,Coating Thickness Calibration Standard,,#N/A,S506326,,,2015-01-19,2,Years,2017-01-19,,,Assy Shop,HOLD,,,,,2022-11-15,2017-01-05
28,A-074,COATING THICKNESS GAUGE,PosiTector,0 - 1300 µm,240988,QCD/TRSG/SEAMS 0023 / TRSG/QM/001/20,MANUNFACTURER SPECIFICATION (PosiTector),2021-04-29,2,Years,2023-04-30,TRESCAL,SALDM/0675/36/22,Blasting/Painting Bunker,TRUE,,SML/CTS/001~015,SALDM/2107/4/21,20.06.2022,2022-11-15,2023-04-16
29,A-083,"0 to 30,000 PSI GAUGE ( Pressure Gauge )",,#N/A,238401003,,± 0.5 F.S / API 16A ,2021-07-27,3,Months,2021-10-27,,,TEST BUNKER AREA CABINET 4 L4,HOLD,,,,,2022-11-15,2021-10-13
30,A-086,HANDTORQUE MULTIPLIER WITH INTEGRAL TRANSDUCER,,#N/A,85520,,,2015-08-17,1,Years,2016-08-16,,,Assy Shop BAY D,HOLD,,,,,2022-11-15,2016-08-02
31,A-087,HANDTORQUE MULTIPLIER WITH INTEGRAL TRANSDUCER,,#N/A,85521,,,2015-08-18,1,Years,2016-08-17,,,Assy Shop BAY D,HOLD,,,,,2022-11-15,2016-08-03
32,A-091,TORQUE WRENCH,NORBAR,20 - 100 NM,2012/263641,BS EN ISO 6789-1:2017,± 4 %,2022-01-03,1,Years,2023-01-03,Ming Deng,MDL214086-2,TEST BUNKER AREA 3 L3,TRUE,,,,,2022-11-15,2022-12-20
33,A-092,TORQUE WRENCH,,#N/A,2013H10232,,,2015-09-10,1,Years,2016-09-09,,,Assy Shop,HOLD,,,,,2022-11-15,2016-08-26
34,A-093,TORQUE MULTIPLIER HT-52/22 FITTED WITH AWUR,,#N/A,2013H10233,,,2015-09-10,1,Years,2016-09-09,,,BAY D,HOLD,,,,,2022-11-15,2016-08-26
35,A-094,Torque Wrench,,#N/A,2013/201934,,,2015-09-06,1,Years,2016-09-05,,,BAY D,HOLD,,,,,2022-11-15,2016-08-22
36,A-095,TORQUE WRENCH,NORBAR,150 - 600 NM,2012/203902,BS EN ISO 6789-1:2017,± 4 %,2021-09-27,1,Years,2022-09-27,NORBAR,38338S,TEST BUNKER AREA 3 L3,FALSE,,,,,2022-11-15,2022-09-13
37,A-096,TORQUE WRENCH,NORBAR,500 - 1500 NM,2012/293312,BS EN ISO 6789-1:2017,± 4 %,2021-09-29,1,Years,2022-09-29,NORBAR,38344S,TEST BUNKER AREA 3 L3,FALSE,,,,,2022-11-15,2022-09-15
38,A-097,TORQUE WRENCH,,#N/A,2013/201938,,,2015-09-07,1,Years,2016-09-06,,,BAY D,HOLD,,,,,2022-11-15,2016-08-23
39,A-098,TORQUE WRENCH,,#N/A,2013/207282,,,2018-12-10,1,Years,2019-12-10,,,BAY D,HOLD,,,,,2022-11-15,2019-11-26
40,A-113,PRESSURE TEST GAUGE,IKM,"0 to 10,000 PSI",242114010,CTTM-M09:2007 / API 16A,± 0.5 F.S,2022-08-10,3,Months,2022-11-10,CALTEK,CMS 2109-22,TEST BUNKER AREA CABINET 4 L4,FALSE,,9936006,-,11.05.2023,2022-11-15,2022-10-27
41,A-115,PRESSURE TEST GAUGE,IKM,"0 to 10,000 PSI",242114012,QCD/TRSG/P08 / TRSG/QM/001/20 / API 16A,± 0.5 F.S / API 16A ,2022-06-23,3,Months,2022-09-23,TRESCAL,SALPR/0473/6/22,TEST BUNKER AREA CABINET 4 L4,FALSE,,3534923 (DPI 104),SALPR/0113/6/22,08.02.2023,2022-11-15,2022-09-09
42,A-119,PRESSURE TEST GAUGE,IKM,"0 to 30,000 PSI",242118001,QCD/TRSG/P08 / TRSG/QM/001/20 / API 16A,± 0.5 F.S,2022-06-27,3,Months,2022-09-27,TRESCAL,SALPR/0473/7/22,TEST BUNKER AREA CABINET 4 L4,FALSE,,211H20640027,SALPR/0113/15/22,08.02.2023,2022-11-15,2022-09-13
43,A-125,Chart Recorder : 0 - 5000 PSI,,#N/A,P29402,,,2016-07-13,1,Years,2017-07-13,,,BAY D F03,HOLD,,,,,2022-11-15,2017-06-29
44,A-126,CHART RECORDER,OGME,"0 - 10,000 PSI",P29403,QCD/TRSG/P08 / TRSG/QM/001/20 / API 6A,± 2% F.S,2022-06-06,1,Years,2023-06-06,TRESCAL,SALPR/0409/6/22,BAY D F03,TRUE,,3534923 (DPI 104),SALPR/0113/6/22,08.02.2023,2022-11-15,2023-05-23
45,A-127,HIGH PRESSURE CHART RECORDER,OGME,"0 - 30,000 PSI",P29405,QCD/TRSG/P08 / TRSG/QM/001/20  / API 6A,± 2 % FS,2022-08-20,1,Years,2023-08-20,TRESCAL,SALPR/0638/1/22,TEST BUNKER AREA 2,TRUE,,211H19490005 (681),SALPR/0904/3/21,07.10.2022,2022-11-15,2023-08-06
46,A-129,CHART RECORDER,BARTON,0 - 1000 PSI,06877,QCD/TRSG/P08 / TRSG/QM/001/20 / API 6A,± 2% F.S,2022-03-29,1,Years,2023-03-29,TRESCAL,SALPR/0223/10/22,TEST BUNKER AREA CABINET 4 L1,TRUE,,211H20640027,SALPR/0113/15/22,08.02.2023,2022-11-15,2023-03-15
47,A-132,CHART RECORDER,BARTON," 0 -10,000 PSI",06879,QCD/TRSG/P08 / TRSG/QM/001/20 / API 6A,± 2% F.S,2022-03-29,1,Years,2023-03-29,TRESCAL,SALPR/0223/11/22,TEST BUNKER AREA CABINET 4 L1,TRUE,,3534923,SALPR/0113/6/22,08.02.2023,2022-11-15,2023-03-15
48,A-134,DIGITAL PRESSURE GAUGE,ADDITEL,"0 - 30,000 PSI",211D150B0003,QCD/PRSG/P08 / TRSG/QM/001/20 / API 16A,± 0.5 F.S / API 16A ,2022-06-27,3,Months,2022-09-27,TRESCAL,SALPR/0473/5/22,TEST BUNKER AREA CABINET 4 L4,FALSE,,7326/283 PCU V491 (PL004524),PL004524,28.11.2022,2022-11-15,2022-09-13
49,A-135,DIGITAL PRESSURE GAUGE,ADDITEL,"0 - 30,000 PSI",211D150B0004,CTTM-M10:2007 / API 16A,± 0.5 F.S / API 16A ,2022-08-10,3,Months,2022-11-10,CALTEK,CMS 2125-22,TEST BUNKER AREA CABINET 4 L4,FALSE,,7326/283 PCU V491 (PL004524),PL004524,28.05.2022,2022-11-15,2022-10-27
50,A-141,DIGITAL PRESSURE GAUGE,DRUCK,0 - 70 BAR,10153958,CTTM-M07:2007 / API 16A,± 0.5 F.S / API 16A ,2022-08-10,3,Months,2022-11-10,CALTEK,CMS 2326M-22,TEST BUNKER AREA CABINET 4 L4,FALSE,,31253 PCU NO.118M,2010-19658,04.12.2022,2022-11-15,2022-10-27
51,A-142,DIGITAL PRESSURE GAUGE,DRUCK,"0 - 1015 PSI 
(0 - 70 BAR)",10171420,QCD/PRSG/P08 / TRSG/QM/001/20 / API 16A,± 0.5 F.S / API 16A ,2022-06-24,3,Months,2022-09-24,TRESCAL,SALPR/0473/2/22,TEST BUNKER AREA CABINET 4 L4,FALSE,,31253 PCU NO.118M,2010-19658,04.12.2022,2022-11-15,2022-09-10
52,A-155,TORQUE PRESSURE GAUGE,HYTORC,"0 - 11,500 PSI",145050343,QCD/PRSG/P08 / TRSG/QM/001/20 / API 16A,± 0.5 F.S / API 16A ,2022-04-05,6,Months,2022-10-05,TRESCAL,SALPR/0223/3/22,Assy Shop,FALSE,,3789410,SALPR/0113/3/22,08.02.2023,2022-11-15,2022-09-21
53,A-156,TORQUE WRENCH,NORBAR,60 - 300 NM,2013/201793,BS EN ISO 6789-1:2017,± 4 %,2021-09-29,1,Years,2022-09-29,NORBAR,38339S,TEST BUNKER AREA 3 L3,FALSE,,,,,2022-11-15,2022-09-15
54,A-157,TORQUE WRENCH,NORBAR,110 - 550 NM,2013/207278,BS EN ISO 6789-1:2017,± 4 %,2021-09-29,1,Years,2022-09-29,NORBAR,38352S,TEST BUNKER AREA 3 L3,FALSE,,,,,2022-11-15,2022-09-15
55,A-158,"Test Mandrel OD 6.625""",,#N/A,16228-02-01,,,2016-12-29,1,Years,2017-12-29,,,BAY A,HOLD,,,,,2022-11-15,2017-12-15
56,A-159,"Test Mandrel OD 5.000""",,#N/A,16228-03-01,,,2016-12-29,1,Years,2017-12-29,,,BAY A,HOLD,,,,,2022-11-15,2017-12-15
57,A-160,"Test Mandrel OD 5.500""",,#N/A,16228-04-01,,,2016-12-29,1,Years,2017-12-29,,,BAY A,HOLD,,,,,2022-11-15,2017-12-15
58,A-161,"Test Mandrel OD 3.500""",,#N/A,16228-01-01,,,2016-12-22,1,Years,2017-12-22,,,BAY A,HOLD,,,,,2022-11-15,2017-12-08
59,A-163,DIGITAL PRESSURE GAUGE,DRUCK,0 - 350 Bar,10174925,CTTM-M09:2007 / API 16A,± 0.5 F.S / API 16A ,2022-08-10,3,Months,2022-11-10,CALTEK,CMS 2327M-22,TEST BUNKER AREA CABINET 4 L4,FALSE,,31253 PCU NO.118M,2010-19658,04.12.2022,2022-11-15,2022-10-27
60,A-167,"Test Mandrel OD 3.500""",,#N/A,17001-01-01,,,2017-01-09,1,Years,2018-01-09,,,BAY A,HOLD,,,,,2022-11-15,2017-12-26
61,A-170,DRIFT INSPECTION,--,3.0625'',-,MTQ STD,-,2020-11-30,1,Years,2021-11-30,--,--,BAY C,HOLD,IN-HOUSE INSPECTION,--,--,--,2022-11-15,2021-11-16
62,A-171,SAFETY RELIEF VALVE,HTG,"5,000 PSI",HTG-11 RV,QCD/TRSG/TG02 / TRSG/QM/001/20,± 3% OF CDTP,2022-04-05,1,Years,2023-04-05,TRESCAL,SALVT/0024/1/22-A1,TEST BUNKER AREA CABINET 4 L4,TRUE,,NRG 2224,SALPR/0760/12/21,11.09.2022,2022-11-15,2023-03-22
63,A-172,SAFETY RELIEF VALVE,HTG,"16,000 PSI",HTG-30 RV,QCD/TRSG/TG02 / TRSG/QM/001/20,± 3% OF CDTP,2022-04-05,1,Years,2023-04-05,TRESCAL,SALVT/0024/4/22-A1,TEST BUNKER AREA CABINET 4 L4,TRUE,,NRG 2225,SALPR/0194/10/22,11.09.2022,2022-11-15,2023-03-22
64,A-173,SAFETY RELIEF VALVE,HTG,"3,300 PSI",HTG-11 RV,QCD/TRSG/TG02 / TRSG/QM/001/20,± 3% OF CDTP,2022-04-05,1,Years,2023-04-05,TRESCAL,SALVT/0024/3/22-A1,TEST BUNKER AREA CABINET 4 L4,TRUE,,NRG 2222,SALPR/0194/6/22,11.09.2022,2022-11-15,2023-03-22
65,A-174,SAFETY RELIEF VALVE,HTG,"8,250 PSI",HTG-11 RV,QCD/TRSG/TG02 / TRSG/QM/001/20,± 3% OF CDTP,2022-04-05,1,Years,2023-04-05,TRESCAL,SALVT/0024/2/22-A1,TEST BUNKER AREA CABINET 4 L4,TRUE,,NRG 2224,SALPR/0194/9/22,11.09.2022,2022-11-15,2023-03-22
66,A-175,SAFETY RELIEF VALVE,HTG,"24,750 PSI",HTG-30 RV,QCD/TRSG/TG02 / TRSG/QM/001/20,± 3% OF CDTP,2022-04-05,1,Years,2023-04-05,TRESCAL,SALVT/0024/5/22-A1,TEST BUNKE+H68:O68R AREA CABINET 4 L4,TRUE,,NRG 2225,SALPR/0194/10/22,11.09.2022,2022-11-15,2023-03-22
67,A-176,SAFETY RELIEF VALVE,HTG,"3,300 PSI",HTG-11 RV,QCD/TRSG/TG02 / TRSG/QM/001/20,± 3% OF CDTP,2022-05-27,1,Years,2023-05-27,TRESCAL,SALVT/0035/5/22,TEST BUNKER AREA CABINET 4 L4,TRUE,,NRG 2225,SALPR/0194/10/22,11.09.2022,2022-11-15,2023-05-13
68,A-177,SAFETY RELIEF VALVE,HTG,"4,900 PSI",HTG-11 RV,QCD/TRSG/TG02 / TRSG/QM/001/20,± 3% OF CDTP,2022-05-27,1,Years,2023-05-27,TRESCAL,SALVT/0035/4/22,TEST BUNKER AREA CABINET 4 L4,TRUE,,NRG 2225,SALPR/0194/10/22,11.09.2022,2022-11-15,2023-05-13
69,A-178,SAFETY RELIEF VALVE,HTG,"8,000 PSI",HTG-11 RV,QCD/TRSG/TG02 / TRSG/QM/001/20,± 3% OF CDTP,2022-05-27,1,Years,2023-05-27,TRESCAL,SALVT/0035/3/22,TEST BUNKER AREA CABINET 4 L4,TRUE,,NRG 2225,SALPR/0194/10/22,11.09.2022,2022-11-15,2023-05-13
70,A-179,SAFETY RELIEF VALVE,HTG,"16,000 PSI",HTG-30 RV,QCD/TRSG/TG02 / TRSG/QM/001/20,± 3% OF CDTP,2022-05-27,1,Years,2023-05-27,TRESCAL,SALVT/0035/2/22,TEST BUNKER AREA CABINET 4 L4,TRUE,,NRG 2225,SALPR/0194/10/22,11.09.2022,2022-11-15,2023-05-13
71,A-180,SAFETY RELIEF VALVE,HTG,"24,000 PSI",HTG-30 RV,QCD/TRSG/TG02 / TRSG/QM/001/20,± 3% OF CDTP,2022-05-27,1,Years,2023-05-27,TRESCAL,SALVT/0035/1/22,TEST BUNKER AREA CABINET 4 L4,TRUE,,NRG 2225,SALPR/0194/10/22,11.09.2022,2022-11-15,2023-05-13
72,A-181,DRIFT INSPECTION,--,26.72'' / 678.69,-,MTQ STD,"+0.010""/-0.000""",2022-07-11,1,Years,2023-07-11,--,--,BAY C,TRUE,IN-HOUSE INSPECTION,--,--,--,2022-11-15,2023-06-27
73,A-183,DIGITAL PRESSURE GAUGE,ADDITEL,"0 - 10,000 PSI",21820020015,QCD/TRSG/P08 / TRSG/QM/001/20,± 0.5 F.S / API 16A ,2022-06-24,3,Months,2022-09-24,TRESCAL,SALPR/0473/1/22,TEST BUNKER AREA 2,FALSE,,31253 PCU NO.118M,2010-19658,04.12.2022,2022-11-15,2022-09-10
74,A-184,HY-2XLCT W HEX LINK,HYTORC,"243 - 1687 LB FT / 1,500 - 10,000 PSI",MD122911,HYTORC STD PRESSURE/TORQUE PROCEDURE #319 V2.0,± 3 %,2021-11-25,1,Years,2022-11-25,HYTORC,21641,Assy Shop,FALSE,,,,,2022-11-15,2022-11-11
75,A-185,"TORSON X, 2HP",HYTORC,"220 - 1590 LB FT / 1,500 - 10,000 PSI",261574,HYTORC STD PRESSURE/TORQUE PROCEDURE #319 V2.0,± 3 %,2021-11-25,1,Years,2022-11-25,HYTORC,21642,Assy Shop,FALSE,,,,,2022-11-15,2022-11-11
76,A-186,HY-4XLCT W HEX LINK,HYTORC,"580 - 3855 LB FT / 1,500 - 10,000 PSI",C8339,HYTORC STD PRESSURE/TORQUE PROCEDURE #319 V2.0,± 3 %,2021-11-25,1,Years,2022-11-25,HYTORC,21640,Assy Shop,FALSE,,,,,2022-11-15,2022-11-11
77,A-187,HY-8XLCT W HEX LINK,HYTORC,"1143 - 8151 LB FT / 1,500 - 10,000 PSI",XC8MD1523-093,HYTORC STD PRESSURE/TORQUE PROCEDURE #319 V2.0,± 3 %,2021-11-25,1,Years,2022-11-25,HYTORC,21638,Assy Shop,FALSE,,,,,2022-11-15,2022-11-11
78,A-188,HY-8XLCT W HEX LINK,HYTORC,"1143 - 8151 LB FT / 1,500 - 10,000 PSI",G6319,HYTORC STD PRESSURE/TORQUE PROCEDURE #319 V2.0,± 3 %,2021-11-25,1,Years,2022-11-25,HYTORC,21639,Assy Shop,FALSE,,,,,2022-11-15,2022-11-11
79,A-189,HY-14XLCT W HEX LINK,HYTORC,"2010 - 13400 LB FT / 1,500 - 10,000 PSI",MD1026072,HYTORC STD PRESSURE/TORQUE PROCEDURE #319 V2.0,± 3 %,2021-11-24,1,Years,2022-11-24,HYTORC,21637,Assy Shop,FALSE,,,,,2022-11-15,2022-11-10
80,A-190,HY-14XLCT W HEX LINK,HYTORC,"2010 - 13400 LB FT / 1,500 - 10,000 PSI",XC13TR1520-574,HYTORC STD PRESSURE/TORQUE PROCEDURE #319 V2.0,± 3 %,2021-11-24,1,Years,2022-11-24,HYTORC,21636,Assy Shop,FALSE,,,,,2022-11-15,2022-11-10
81,A-191,HY-18XLCT W HEX LINK,HYTORC,"2790 - 19100 LB FT / 1,500 - 10,000 PSI",MD130071,HYTORC STD PRESSURE/TORQUE PROCEDURE #319 V2.0,± 3 %,2021-11-24,1,Years,2022-11-24,HYTORC,21634,Assy Shop,FALSE,,,,,2022-11-15,2022-11-10
82,A-192,HY-18XLCT W HEX LINK,HYTORC,"2790 - 19100 LB FT / 1,500 - 10,000 PSI",MD1114012,HYTORC STD PRESSURE/TORQUE PROCEDURE #319 V2.0,± 3 %,2021-11-24,1,Years,2022-11-24,HYTORC,21635,Assy Shop,FALSE,,,,,2022-11-15,2022-11-10
83,A-193,HY-STEALTH 36 WITH HEX LINK,HYTORC,"4917 - 34722 LB FT / 1,500 - 10,000 PSI",S36F1225-60,HYTORC STD PRESSURE/TORQUE PROCEDURE #319 V2.0,± 3 %,2021-11-24,1,Years,2022-11-24,HYTORC,21633,Assy Shop,FALSE,,,,,2022-11-15,2022-11-10
84,A-194,DIGITAL PRESSURE GAUGE,ADDITEL,"0 - 10,000 PSI",21820020006,CTTM - M09:2007,± 0.5 F.S / API 16A ,2022-08-10,3,Months,2022-11-10,CALTEK,CMS 2328M-22,TEST BUNKER AREA 2,FALSE,,6/7/1972,OIL DEADWEIGHT PRESSURE TESTER,-,2022-11-15,2022-10-27
85,A-195,TORQUE PRESSURE GAUGE,HYTORC,"0 to 11,500 PSI",HTG025336,QCD/PRSG/P08 / TRSG/QM/001/20 / API 16A,± 0.5 F.S / API 16A ,2022-06-27,6,Months,2022-12-27,TRESCAL,SALPR/0473/3/22-A1,Assy Shop,TRUE,,3789410 (DPI 104),SALPR/0113/3/22,08.02.2023,2022-11-15,2022-12-13
86,A-196,DRIFT INSPECTION,--,"20.720""",-,MTQ STD,+0.010”/-0.000,2021-03-03,1,Years,2022-03-03,--,--,Assy Shop BAY C - RACK A04,FALSE,IN-HOUSE INSPECTION,--,--,--,2022-11-15,2022-02-17
87,A-197,PosiTector DEW POINT METER,DEFELSKO,-,415321,CTTM-T07&T17:2007,"SURFACE TEMPERATURE:
-40 TO 80° C ±0.5° C
80° C TO 190° C ±1.5° C
AIR TEMPERATURE: -40 TO 80° C ±0.5° C
RELATIVE HUMIDITY: ±3.0 RH%
",2022-07-22,1,Years,2023-07-22,CALTEK,CTT 1752M-22,PAINTING BOOTH ASSY 3 CABINET L4,TRUE,,"38215-1 / N11 & N12
61445393",-,-,2022-11-15,2023-07-08
88,A-198,HY-4XLCT W HEX LINK,HYTORC,"580 - 3855 LB FT / 1,500 - 10,000 PSI",MD122282,HYTORC STD PRESSURE/TORQUE PROCEDURE #319 V2.0,± 3 %,2021-11-25,1,Years,2022-11-25,HYTORC,21643,Assy Shop,FALSE,,,,,2022-11-15,2022-11-11
89,A-199,TORQUE WRENCH,AETOMATE,150 - 800 NM,210625945,BS EN ISO 6789-1:2017,± 4 %,2022-08-02,1,Years,2023-08-02,SHIKRA,MLS-22080001-01,TEST BUNKER AREA 3 L3,TRUE,"Using for internal only, not for Cameron (Gan)",,,,2022-11-15,2023-07-19
,A-200,"PNEUTORQUES PTM-92, 1"" SQDR",NORBAR,MAX 590 LBf.ft,2013D10364,BS EN ISO 6789-1:2017,"MANUAL TORQUE WRENCH : >10 N.M ± 4%, <10 N.M ± 6% OR MANUFACTURER SPECIFICATION

HYDRAULIC TORQUE WRENCH: ± 5% OR MANUFACTURER SPECIFICATION

TORQUE UNIT PRESSURE GAUGE: ± 1% OF FULL- SCALE VALUE OR MANUFACTIRER SPECIFICATION",###############################################################################################################################################################################################################################################################,1,Years,,,,TEST BUNKER AREA 3 L3,SCRAPPED,,,,,2022-11-15,###############################################################################################################################################################################################################################################################
